"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","Create user with existing username failure","tests.users","2026-07-04","passed","2026-07-04","TestCreateUser","test_create_user","",""
"","52","Update user details without access token failure","tests.users","2026-07-04","passed","2026-07-04","TestUpdateUser","test_update_user","",""
"","210","Get character by unexisting id failure","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","372","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","516","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","1307","Create user success","tests.users","2026-07-04","passed","2026-07-04","TestCreateUser","test_create_user","",""
"","260","Get user auth tokens success","tests.tokens","2026-07-04","passed","2026-07-04","TestGetUserAuthToken","test_get_user_auth_token","",""
"","407","Get list of characters success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacters","test_get_characters","",""
"","105","Update user details success","tests.users","2026-07-04","passed","2026-07-04","TestUpdateUser","test_update_user","",""
"","75","Get random character success","tests.random","2026-07-04","passed","2026-07-04","TestGetRandomCharacter","test_get_random_character","",""
"","51","Get list of users by username success","tests.users","2026-07-04","passed","2026-07-04","TestGetUsers","test_get_users","",""
"","102","Get current user details without access token failure","tests.users","2026-07-04","passed","2026-07-04","TestGetMe","test_get_me_api","",""
"","61","Get character by id success","tests.characters","2026-07-04","passed","2026-07-04","TestGetCharacterById","test_get_character_by_id","",""
"","110","Get unexisting user auth tokens failure","tests.tokens","2026-07-04","passed","2026-07-04","TestGetUserAuthToken","test_get_user_auth_token","",""
"","48","Get current user details success","tests.users","2026-07-04","passed","2026-07-04","TestGetMe","test_get_me_api","",""
